year,MAE,RMSE,R2
1977,4.2990195853828645e-05,0.00031310400767601914,0.9999998624139137
1978,7.332794586270006e-05,0.0009620290886168187,0.9999989991116857
1979,6.393043237615492e-05,0.000537815414199091,0.9999996847702043
1980,7.083508131071589e-05,0.0012193801953106285,0.9999979245048161
1981,6.1431366184213e-05,0.0006343183987515313,0.9999995873771036
1982,2.1964973927181095e-05,0.0001576774762897776,0.9999999438930679
1983,5.357562201245018e-05,0.0005623334314107131,0.9999996526385991
1984,5.2545134561410984e-05,0.00031619555307242544,0.9999998863233996
1985,4.091832198621133e-05,0.00023702000346539673,0.9999999063239021
1986,3.702235651382569e-05,0.00025408702688165164,0.9999998828970174
1987,0.0005985856701325782,0.013247427226000114,0.9999196748152297
1988,4.3085501793271734e-05,0.0002945016729041318,0.9999998859073339
1989,0.00011673471481249778,0.002099437157088014,0.9999961132389819
1990,8.255349405395982e-05,0.0006960401039409446,0.9999994917448415
1991,5.798593519992019e-05,0.00044306374163559164,0.9999997225944136
1992,2.9519739423169893e-05,0.0002520494498228624,0.9999998503723715
1993,5.594191367630652e-05,0.0004158723956550097,0.9999998285990309
1994,4.181373154534771e-05,0.00033720149764915596,0.9999998586664993
1995,4.429531822757166e-05,0.0004450505124943119,0.9999997314641139
1996,8.26327113357749e-05,0.0014030448949791223,0.999998299569569
1997,6.057343115061853e-05,0.0006219134110779723,0.9999994825949848
1998,7.538832785584896e-05,0.0008919531149813029,0.9999992541544422
1999,6.284598809371092e-05,0.0005082107925777632,0.9999997047810448
2000,0.00010415534696608627,0.0011939708740879328,0.9999983936096891
2001,0.00014571522094704789,0.003200227439277919,0.999989190408996
2002,0.00021843404982367165,0.004123627322501851,0.999985866486007
2003,7.63564987266405e-05,0.0005926723025105861,0.9999995828613887
2004,0.00011767921460008484,0.0015770001060758983,0.9999978827716969
2005,3.160311439343443e-05,0.00024656375322622536,0.9999998953422613
2006,7.929995042906168e-05,0.0014038398863759566,0.9999973494246217
2007,7.902139814412731e-05,0.0005933863548820204,0.9999995829591163
2008,3.9743082822632455e-05,0.0003157168269084633,0.9999998111716882
2009,5.2584694013244256e-05,0.0007140435877118145,0.9999990630782388
2010,7.726753972824576e-05,0.0006030612903506124,0.99999962986524
